date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:06	63728/63728	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-regular-400.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-regular-400.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:06	187448/187448	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-brands-400.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-brands-400.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:06	4536/4536	---M--	200	added ('OK')	font/woff2	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-v4compatibility.woff2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-v4compatibility.woff2	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:06	394832/394832	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-solid-900.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-solid-900.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:06	10172/10172	---M--	200	added ('OK')	font/ttf	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-v4compatibility.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-v4compatibility.ttf	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:07	923151/923151	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Jun%202020%2015:32:00%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-solid-900.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/line-awesome/la-solid-900.svg	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:07	149908/149908	---M--	200	added ('OK')	font/woff2	date:Mon,%2013%20Feb%202023%2007:44:24%20GMT	https://account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-solid-900.woff2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/plugins/global/fonts/@fortawesome/fa-solid-900.woff2	(from https://account.amgaka.com/publics/dist/plugins/global/plugins.bundle.css)
17:02:07	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:05%20GMT	https://account.amgaka.com/publics/fonts/dropify.eot	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/fonts/dropify.eot	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:08	3476/3476	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:06%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.eot+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/errorf005.html	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:08	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:06%20GMT	https://account.amgaka.com/publics/fonts/dropify.woff	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/fonts/dropify.woff	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:08	3478/3478	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:06%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.woff+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/errora8ae.html	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:08	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:06%20GMT	https://account.amgaka.com/publics/fonts/dropify.ttf	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/fonts/dropify.ttf	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:08	3476/3476	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:06%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.ttf+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/error336f.html	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:09	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:07%20GMT	https://account.amgaka.com/publics/fonts/dropify.svg	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/fonts/dropify.svg	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:09	273104/273104	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Mar%202023%2002:27:58%20GMT	https://account.amgaka.com/publics/dist/media/patterns/header-bg-dark.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/patterns/header-bg-dark.png	(from https://account.amgaka.com/publics/dist/css/style.bundle.css)
17:02:09	3476/3476	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:07%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.svg+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/errorb543.html	(from https://account.amgaka.com/publics/css/dropify.css)
17:02:09	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:07%20GMT	https://account.amgaka.com/publics/dist/media/misc/heder-bg.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/misc/heder-bg.png	(from https://account.amgaka.com/auth/password/reset?tag=1)
17:02:10	3498/3498	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:07%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Fdist%2Fmedia%2Fmisc%2Fheder-bg.png+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/error1e3a.html	(from https://account.amgaka.com/auth/password/reset?tag=1)
17:02:10	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:08%20GMT	https://account.amgaka.com/publics/dist/media/avatars/blank.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/avatars/blank.png	(from https://account.amgaka.com/auth/register/member)
17:02:10	3498/3498	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:08%20GMT	https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Fdist%2Fmedia%2Favatars%2Fblank.png+%27%3C%2Fb%3E	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/errore1f0.html	(from https://account.amgaka.com/auth/register/member)
17:02:10	9132/9132	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:08%20GMT	https://account.amgaka.com/auth/login?tag=1	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/login0849.html	(from https://account.amgaka.com/auth/register/member)
17:02:12	9132/9132	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:08%20GMT	https://account.amgaka.com/auth/login?tag=2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/login2479.html	(from https://account.amgaka.com/auth/register/interpreter)
17:02:13	8696/8696	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Mar%202023%2002:27:58%20GMT	https://account.amgaka.com/publics/dist/media/auth/404-error.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/auth/404-error.png	(from https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.eot+%27%3C%2Fb%3E)
17:02:13	9912/9912	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Mar%202023%2002:27:58%20GMT	https://account.amgaka.com/publics/dist/media/auth/404-error-dark.png	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/publics/dist/media/auth/404-error-dark.png	(from https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.eot+%27%3C%2Fb%3E)
17:02:13	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2006%20Feb%202024%2017:02:11%20GMT	https://account.amgaka.com/home	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/home	(from https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.eot+%27%3C%2Fb%3E)
17:02:13	9921/9921	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:11%20GMT	https://account.amgaka.com/auth/login?error_return=Cette+ressource+n%27est+pas+disponible%2C+veuillez+vous+connecter	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/logind82a.html	(from https://account.amgaka.com/error?error_return=Nous+ne+retrouvons+pas+la+route+%3Cb+class%3D%27text-dark%27%3E%27+publics%2Ffonts%2Fdropify.eot+%27%3C%2Fb%3E)
17:02:14	6438/6438	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202024%2017:02:12%20GMT	https://account.amgaka.com/auth/password/reset?tag=2	C:/My%20Web%20Sites/momcompteAmgakam/account.amgaka.com/auth/password/reset2479.html	(from https://account.amgaka.com/auth/login?tag=2)
